B23025_001E,B23025_005E,state,county,unemploy_rate
67375.0,3781.0,01,115,0.05611873840445269
152829.0,7856.0,01,003,0.051403856597896994
81209.0,3901.0,01,069,0.048036547673287446
160991.0,7801.0,01,125,0.048456124876545895
40049.0,1576.0,01,031,0.03935179405228595
27473.0,1626.0,01,109,0.0591853820114294
27605.0,1916.0,01,017,0.06940771599347945
179376.0,9706.0,01,101,0.05410980287217911
13907.0,830.0,01,067,0.05968217444452434
33227.0,1860.0,01,123,0.055978571643542904
9383.0,970.0,01,037,0.10337845038900138
39410.0,2323.0,01,045,0.05894443034762751
12109.0,809.0,01,065,0.0668098108844661
83490.0,4834.0,01,055,0.05789914959875434
55312.0,2893.0,01,049,0.05230329765692797
30510.0,2371.0,01,053,0.07771222549983611
11567.0,591.0,01,075,0.05109362842569378
18164.0,1095.0,01,111,0.060284078396828894
16266.0,1075.0,01,013,0.0660887741300873
324724.0,21143.0,01,097,0.06511067860706322
8153.0,569.0,01,105,0.0697902612535263
53071.0,3616.0,01,127,0.06813513971849032
11779.0,550.0,01,029,0.04669326767976908
10349.0,1306.0,01,035,0.12619576770702484
6981.0,859.0,01,063,0.12304827388626272
21850.0,1527.0,01,005,0.06988558352402746
18487.0,975.0,01,007,0.05273976307675664
8633.0,809.0,01,011,0.09371018186030348
93690.0,7257.0,01,015,0.07745757284662184
20188.0,2063.0,01,025,0.10218941945710323
13755.0,774.0,01,057,0.056270447110141765
73260.0,3965.0,01,095,0.05412230412230412
45634.0,2291.0,01,009,0.05020379541569882
273601.0,17171.0,01,089,0.06275927354066688
42512.0,2252.0,01,001,0.05297327813323297
21527.0,1281.0,01,061,0.05950666604728945
8839.0,757.0,01,131,0.08564317230455934
17806.0,1673.0,01,099,0.09395709311468045
27129.0,1657.0,01,079,0.06107855062847875
119075.0,6162.0,01,081,0.05174889775351669
24811.0,1485.0,01,093,0.05985248478497441
15806.0,1306.0,01,107,0.08262685056307731
10935.0,937.0,01,119,0.08568815729309556
522746.0,32049.0,01,073,0.06130893397558279
11015.0,727.0,01,023,0.06600090785292782
24650.0,1302.0,01,059,0.05281947261663286
16332.0,890.0,01,091,0.05449424442811658
44328.0,3127.0,01,113,0.07054232088070746
21309.0,1114.0,01,019,0.052278380027218546
30618.0,1733.0,01,039,0.05660069240316154
11077.0,673.0,01,041,0.06075652252414914
32716.0,3059.0,01,047,0.09350165056852916
75673.0,3444.0,01,077,0.045511609160466746
8662.0,720.0,01,085,0.08312168090510275
17080.0,1761.0,01,087,0.10310304449648712
69059.0,3384.0,01,083,0.049001578360532295
63990.0,3229.0,01,051,0.05046100953273949
156603.0,6665.0,01,117,0.0425598487896145
19673.0,1016.0,01,133,0.05164438570629797
64539.0,3204.0,01,043,0.04964440105982429
42773.0,2427.0,01,071,0.05674140228648914
65362.0,5327.0,01,121,0.08149995410177167
13484.0,1426.0,01,129,0.1057549688519727
10997.0,624.0,01,027,0.05674274802218787
94887.0,6363.0,01,103,0.0670587119415726
34195.0,1897.0,01,021,0.05547594677584442
44184.0,2356.0,01,033,0.053322469672279556
18180.0,1109.0,13,291,0.061001100110011
22411.0,851.0,13,311,0.03797242425594574
108238.0,7496.0,13,223,0.0692547903693712
157529.0,11495.0,13,245,0.07297069111084309
14983.0,1230.0,13,019,0.08209303877728091
53342.0,3945.0,13,013,0.07395673203104496
5089.0,231.0,13,065,0.0453920220082531
19479.0,1151.0,13,131,0.05908927563016582
77780.0,5908.0,13,313,0.0759578297762921
11625.0,959.0,13,193,0.08249462365591398
26228.0,1398.0,13,145,0.053301814854354125
16914.0,1081.0,13,321,0.06391155256000947
11792.0,488.0,13,093,0.041383989145183174
2277.0,107.0,13,307,0.046991655687307864
2362.0,132.0,13,125,0.0558848433530906
219737.0,12805.0,13,051,0.05827420962332243
8068.0,401.0,13,167,0.04970252850768468
22351.0,1006.0,13,195,0.045009171849134263
31542.0,1405.0,13,277,0.04454378289265107
5488.0,396.0,13,263,0.07215743440233237
7275.0,675.0,13,273,0.09278350515463918
7466.0,220.0,13,319,0.02946691668899009
5746.0,366.0,13,243,0.06369648451096414
28466.0,1175.0,13,299,0.041277313286025435
7517.0,233.0,13,315,0.03099640814154583
7469.0,389.0,13,155,0.05208193867987682
8716.0,236.0,13,005,0.027076640660853604
17514.0,898.0,13,033,0.05127326710060523
9001.0,478.0,13,053,0.05310521053216309
21428.0,1017.0,13,087,0.047461265633750235
34428.0,1615.0,13,137,0.04690949227373068
24019.0,1350.0,13,029,0.056205503976018985
11702.0,652.0,13,191,0.05571697145787045
21782.0,1286.0,13,207,0.05903957396015058
1436.0,100.0,13,265,0.06963788300835655
39287.0,2380.0,13,039,0.06057983556901774
10121.0,720.0,13,079,0.07113921549254026
33279.0,1836.0,13,069,0.055169926980978994
23089.0,1316.0,13,123,0.05699683832127853
65347.0,3595.0,13,297,0.05501400217301483
17279.0,842.0,13,091,0.04872967185601019
168613.0,8754.0,13,057,0.05191770504053661
21749.0,1094.0,13,177,0.05030116327187457
24025.0,1434.0,13,227,0.05968782518210198
12911.0,723.0,13,075,0.055998760746650146
764240.0,57017.0,13,121,0.07460614466659687
25484.0,1561.0,13,187,0.061254120232302624
16665.0,989.0,13,189,0.05934593459345935
4747.0,261.0,13,201,0.05498209395407626
14089.0,713.0,13,211,0.05060685641280432
9170.0,721.0,13,149,0.07862595419847328
25776.0,1001.0,13,219,0.038834574798261946
72916.0,7620.0,13,095,0.10450381260628669
19955.0,1422.0,13,111,0.07126033575544977
157615.0,12227.0,13,151,0.07757510389239602
112065.0,7030.0,13,153,0.06273145049747914
37241.0,1268.0,13,175,0.03404849493837437
11821.0,1095.0,13,183,0.09263175704255139
49559.0,3640.0,13,255,0.07344780968138986
20471.0,1333.0,13,257,0.06511650627717258
13812.0,145.0,13,271,0.010498117578916884
21270.0,1441.0,13,293,0.06774800188058298
16629.0,1043.0,13,303,0.06272175115761622
22023.0,1793.0,13,225,0.0814148844389956
14684.0,710.0,13,229,0.048351947698174885
54268.0,3277.0,13,295,0.06038549421390138
13846.0,925.0,13,231,0.06680629784775387
11301.0,590.0,13,251,0.05220776922396248
20690.0,793.0,13,267,0.038327694538424356
629215.0,42016.0,13,135,0.06677526759533704
10833.0,873.0,13,049,0.08058709498753808
77565.0,5125.0,13,015,0.06607361567717399
102184.0,7856.0,13,097,0.07688092069208487
11174.0,626.0,13,161,0.05602291032754609
7681.0,499.0,13,141,0.0649654992839474
5443.0,195.0,13,037,0.035825831343009366
